name,type1,type2,type3,lon,lat
天安门,风景名胜,风景名胜,国家级景点,116.397474,39.908696
天安门广场,风景名胜,公园广场,城市广场,116.397724,39.903755
八达岭长城,风景名胜,风景名胜,国家级景点,116.016802,40.356188
颐和园,风景名胜,风景名胜,世界遗产,116.275115,39.999686
玉渊潭公园,风景名胜,风景名胜,国家级景点,116.319907,39.916615
北京动物园,风景名胜,公园广场,动物园,116.336587,39.942136
香山公园,风景名胜,风景名胜,国家级景点,116.189134,39.990225
朝阳公园,风景名胜,风景名胜,国家级景点,116.482583,39.944139
西单大悦城,购物服务,商场,购物中心,116.37298,39.910891
世界公园,风景名胜,风景名胜,国家级景点,116.287665,39.810681
天坛公园,风景名胜,公园广场,公园,116.410829,39.881913
恭王府,风景名胜,风景名胜,国家级景点,116.386294,39.937195
故宫博物院,风景名胜,风景名胜,世界遗产|科教文化服务;博物馆;博物馆,116.397026,39.918058
北海公园,风景名胜,公园广场,公园,116.391746,39.928614
朝阳大悦城,购物服务,商场,购物中心,116.519024,39.924547
中关村广场,风景名胜,公园广场,城市广场,116.315961,39.979893
雍和宫,风景名胜,风景名胜,风景名胜,116.417315,39.947272
什刹海,风景名胜,风景名胜,国家级景点,116.385307,39.941853
王府井步行街,购物服务,特色商业街,步行街,116.411503,39.911607
银座百货,购物服务,商场,购物中心,116.4356147,39.94017931
大观园,风景名胜,风景名胜,省级景点,116.355972,39.871365
中央电视塔,风景名胜,风景名胜,国家级景点|科教文化服务;传媒机构;电视台,116.307157,39.919174
东方新天地,购物服务,商场,购物中心,116.414504,39.909417
大运河森林公园,风景名胜,风景名胜,国家级景点,116.741906,39.875581
北京植物园,风景名胜,公园广场,植物园,116.209714,40.001403
北京十三陵风景区,风景名胜,风景名胜,国家级景点,116.225305,40.258102
北京庄胜广场,风景名胜,公园广场,城市广场,116.375552,39.896381
白云观,风景名胜,风景名胜,寺庙道观,116.343791,39.901247
卢沟桥,风景名胜,风景名胜,国家级景点,116.220896,39.850459
八大处公园,风景名胜,风景名胜,国家级景点,116.182769,39.962236
永定河休闲森林公园,风景名胜,风景名胜,风景名胜,116.177426,39.889438
北京西站南广场,风景名胜,公园广场,城市广场,116.321006,39.893091
中山公园,风景名胜,公园广场,公园,116.394417,39.91069
北京南站南广场,风景名胜,公园广场,城市广场,116.380303,39.863748
南锣鼓巷,风景名胜,风景名胜,风景名胜,116.403187,39.937282
华润·五彩城,购物服务,商场,购物中心,116.334441,40.030202
新世界百货(崇文店),购物服务,商场,购物中心,116.417624,39.897451
地坛公园,风景名胜,公园广场,公园,116.415158,39.953883
北京野生动物园,风景名胜,公园广场,动物园,116.335563,39.496269
华贸购物中心西区,购物服务,商场,购物中心,116.4802349,39.90919054
十三陵-定陵,风景名胜,风景名胜,世界遗产,116.225759,40.294843
紫谷伊甸园,风景名胜,风景名胜相关,旅游景点,116.259814,39.809934
花乡奥莱村,购物服务,商场,购物中心,116.324023,39.827591
万达广场(丰科店),购物服务,商场,购物中心,116.298923,39.824221
北京798艺术区,风景名胜,风景名胜,风景名胜,116.49462,39.985028
世贸天阶,购物服务,商场,购物中心,116.452004,39.91649
南海子公园,风景名胜,公园广场,公园,116.461474,39.778488
